NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
KPPN Atambua,Belu,2024,3000000,6185000,"Satu buah kendaraan roda dua, Merk Suzuki, Type EN 125 A, Jenis Sepedamotor, Model Sepedamotor Solo, Tahun 2007, Isi Silinder 125 cc, Nomor Rangka MH8EN125A7J 450867, Nomor Mesin F405-ID-451197, Nomor Polisi DH 3128 WF, Buku Pemilik Kendaraan Bermotor E Nomor : 6414075 O, atas nama Direktorat Jenderal Perbendaharaan Dep. Keuangan R.I.",Suzuki,Thunder,2007,125,Tidak Ada
Kantor Kesyahbandaran dan Otoritas Pelabuhan Kupang,Kota Kupang,2024,2500000,3100000," 1 (satu) unit Sepeda Motor , merk/Type Yamaha 28D Mio, Nomor Polisi DH 2052 WB, Tahun Pembuatan 2009, Nomor Rangka MH328D20B9J045121, Nomor Mesin 28D1045117, Dokumen Kepemilikan BPKB G Nomor 2977904 O dan STNK Ada, dalam kondisi Rusak Berat",Yamaha,Mio,2009,110,STNK
Lembaga Pemasyarakatan Kelas IIA Waingapu,Sumba Timur,2024,1000000,3555555," 1 (satu) unit Sepeda Motor, Merk/Type Honda GLM II, Model Solo, Tahun Perakitan 2001, Isi Silinder 125, Warna Hitam, Nomor Rangka MH1UABD101K011738, Nomor Mesin UABDE-1011543, BPKB A Nomor 8055234 O, STNK Nomor 09038802.E, Nomor Polisi : ED 2598 WA, BPKB Ada dan STNK Ada, dalam kondisi rusak berat",Honda,GL Max 125,2001,125,BPKB dan STNK
Kanwil Kemenkumham NTT,Kota Kupang,2024,500000,550000,"1 (satu) unit kendaraan roda dua, merk/type Honda/NF 100D, Jenis Sepedamotor, Model Sepedamotor Solo, Tahun 2001, Isi Silinder 100 cc, Hitam, Nomor Polisi DH 3070 AW , Nomor Rangka MHIKEV4171K211657, Nomor Mesin KEVAE-1213610, Nomor BPKB No. A No.8060809 G, atas nama Kanwil Dep. Kehakinan Dan Hak Asasi Manusia NTT",Honda,Supra Fit,2001,100,BPKB
Kanwil Kemenkumham NTT,Kota Kupang,2024,500000,500000,"1 (satu) unit kendaraan roda dua, merk/type Yamaha/5 LU, Jenis Sepedamotor, Model Sepedamotor Solo, Tahun 2003, Isi Silinder 102 cc, Hitam, Nomor Polisi DH 2160 AW , Nomor Rangka MH35MM0023K166978, Nomor Mesin 5LM-167006, Nomor BPKB No. C No.6264569 O, Nomor STNK : 0059894, atas nama Proyek Pembinaan Peradilan dan PTUN NTT Kanwil Dep Kehakiman dan HAM",Yamaha,Jupiter,2003,102,BPKB
Kantor Pelayanan Pajak Pratama Waingapu,Sumba Timur,2024,3062500,4012500,"1 (satu) unit Sepeda Motor, Merk/Type Yamaha 14D AL 115C (Mio Soul), Nomor Polisi ED 6075 BA, Tahun Pembuatan 2010, Tahun Perakitan 2010, Isi Silinder 113 cc, Warna Hitam, Nomor Rangka MH314D0034K754879, Nomor Mesin 14D 755157, Jumlah Roda 2, Bahan Bakar bensin, Dokumen Kepemilikan BPKB Ada (BPKB G No.1883868 O) dan STNK Ada (STNK Nomor 0003453/NT/2010), dalam kondisi apa adanya",Yamaha,Mio,2010,113,BPKB dan STNK
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,446000,2946000,"Satu Unit Sepeda Motor, Merk Honda C100, Warna Hitam, Tahun Pembuatan 2001, Nomor Polisi ED 665 B/ED2336JG, Nomor Rangka MH1NFGD1X1K021860, Nomor Mesin FGDE-1021804, BPKB A No.7451281 , atas nama Dinas Pendapatan Daerah Sumba Barat",Honda,Astrea C100,2001,100,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1469000,1469000,"Satu Unit Sepeda Motor, Merk Honda WIN MCB, Warna Hitam, Tahun Pembuatan 2004, Nomor Polisi ED 598 AB, Nomor Rangka MH1HABD104K076157, Nomor Mesin HABDE-1075999, BPKB D No.1870605 , atas nama Dispenda Sumba Barat",Honda,Win MCB,2004,100,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,2043000,3743000,"Satu Unit Sepeda Motor, Merk Honda WIN MCB, Warna Hitam, Tahun Pembuatan 2005, Nomor Polisi D677AB/ED2006JG/ED2418WB, Nomor Rangka MH1HABD115K136691, Nomor Mesin HABDE-1135552, BPKB D No.7564552 , atas nama Dinas Pendapatan Tk II Sumba Barat",Honda,Win MCB,2005,100,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1230000,3230000,"Satu Unit Sepeda Motor, Merk Honda NF100, Warna Hitam, Tahun Pembuatan 2006, Nomor Polisi ED 826 AB/ED2329JG, Nomor Rangka MH1HB41186K701694, Nomor Mesin HB41E1705240, BPKB D No.9847325 , atas nama Dispenda Tk II Sumba Barat",Honda,Supra Fit,2006,100,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1628000,2028000,"Satu Unit Sepeda Motor, Merk Honda GL160D, Warna Hitam, Tahun Pembuatan 2007, Nomor Polisi ED 633 BB/ED2325JG, Nomor Rangka MH1KC11177K115216, Nomor Mesin KC11E-1116800, BPKB E No.8426984 , atas nama Dispenda Kabupaten Sumba Barat",Honda,GL 160,2007,160,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1546000,1546000,"Satu Unit Sepeda Motor, Merk Honda GL160D, Warna Black Red, Tahun Pembuatan 2007, Nomor Polisi ED 892 AB/ED2673JG, Nomor Rangka MH1KC111X7K084656, Nomor Mesin KC11E-1086890, BPKB E No.5340808 , atas nama Pemerintah Kabupaten Sumba Barat",Honda,GL 160,2007,160,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1990000,3690000,"Satu Unit Sepeda Motor, Merk Honda Win MCB, Warna Hitam, Tahun Pembuatan 2005, Nomor Polisi 'ED 676 AB/ ED2003JG, Nomor Rangka MH1HABD165K135309, Nomor Mesin HABDE.1134066, BPKB D No.7564551 , atas nama Dinas Pendapatan Tk II Sumba Barat",Honda,Win MCB,2005,100,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1742000,4142000,"Satu Unit Sepeda Motor, Merk Honda GL15A1D Mega Pro, Warna Hitam Abu-Abu, Tahun Pembuatan 2011, Nomor Polisi ED2094JG/ED2480WB, Nomor Rangka MH1KC2110BK042804, Nomor Mesin KC21E-1042903, BPKB H-06165920 , atas nama Pemerintah Kabupaten Sumba Barat",Honda,Mega Pro,2011,150,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1939000,2439000,"Satu Unit Sepeda Motor, Merk Honda GL15A1RR Mega Pro, Warna Merah Hitam, Tahun Pembuatan 2013, Nomor Polisi ED2691JG/ED2232WB, Nomor Rangka MH1KC3115DK275909, Nomor Mesin KC31E-1274748, BPKB K-08717116 , atas nama Dinas PPKD Sumba Barat",Honda,Mega Pro,2013,150,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,788000,788000,"Satu Unit Sepeda Motor, Merk Honda NF 11B2D1 Revo, Warna Hitam Abu-Abu, Tahun Pembuatan 2011, Nomor Polisi 'ED2076JG, Nomor Rangka MH1JBE213BK103108, Nomor Mesin JBE2E.1103720, BPKB H-06165902 , Pemerintah Kabupaten Sumba Barat",Honda,Revo,2011,110,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,563000,3663000,"Satu Unit Sepeda Motor, Merk Honda NF 100 D Supra Fit, Warna Biru, Tahun Pembuatan 2003, Nomor Polisi 'ED 563 AB/ED2956JG/ED2753WB, Nomor Rangka MH1KEVA153K591265, Nomor Mesin KEVAE-1590879, BPKB C No.6927475 , atas nama Pemerintah Daerah Sumba Barat",Honda,Supra Fit,2003,100,Tidak Ada
Pemerintah Kabupaten Sumba Barat,Sumba Barat,2024,1364000,1364000,"Satu Unit Sepeda Motor, Merk Honda GL160D, Warna Black Red, Tahun Pembuatan 2007, Nomor Polisi 'ED 888AB/ED2340JG/ED2014WB, Nomor Rangka MH1KC111X7K088853, Nomor Mesin KC11E.1089966, BPKB E No.5340804 ,Pemerintah Kabupaten Sumba Barat",Honda,GL 160,2007,160,Tidak Ada
